id,model,year_of_manufacture,mileage,count_trip,last_maintenance_date,to
1,Hyundai Solaris,2021,190377,436230,2023-12-19,0
2,KIA Spectra,2022,153122,285080,2024-05-10,0
3,Haval F7,2015,357935,691200,2024-12-13,0
4,Kia Rio,2020,203096,519876,2024-12-03,0
5,Nissan Note,2016,397570,618795,2024-07-29,0
6,Renault Logan,2021,208914,351615,2024-11-05,0
7,Chevrolet Aveo,2022,130382,202122,2024-04-02,0
8,Chevrolet Lacetti,2024,23925,12381,2024-07-17,0
9,KIA Spectra,2022,150786,275724,2024-11-11,0
10,Geely Tugella,2014,336325,561875,2024-07-08,0
11,Hyundai Accent,2021,162156,349794,2024-05-17,0
12,Hyundai Accent,2020,305216,521220,2024-05-02,0
13,Hyundai Accent,2022,154502,215316,2023-12-23,0
14,Hyundai Solaris,2020,311332,437944,2024-09-27,0
15,Chevrolet Lacetti,2024,12473,11626,2024-04-27,0
16,Nissan Note,2015,309705,739875,2024-08-18,0
17,Nissan Note,2021,185946,348390,2024-05-22,0
18,Geely Tugella,2017,331400,697160,2024-11-24,0
19,LADA (VAZ) Vesta,2013,253680,706205,2024-10-11,0
20,Kia Rio,2017,261155,572380,2024-10-14,0
21,Renault Logan,2023,56556,148367,2024-08-06,0
22,Hyundai Accent,2023,73736,136024,2024-11-18,0
23,Haval F7,2023,60424,148930,2024-12-08,0
24,Chevrolet Lacetti,2024,10188,12379,2024-10-20,0
25,Chevrolet Lacetti,2019,342945,546680,2024-10-23,0
26,Volkswagen Polo,2017,382930,565015,2024-10-09,0
27,Hyundai Accent,2016,266260,646505,2024-11-20,0
28,LADA (VAZ) Vesta,2014,262125,634025,2024-08-24,0
29,Nissan Note,2022,118576,254690,2024-10-16,0
30,EXEED TXL,2023,67268,108663,2024-06-27,0
31,Kia Rio,2019,257230,741155,2024-07-10,0
32,Hyundai Accent,2021,198213,402468,2024-04-01,0
33,Kia Rio,2019,334610,699770,2024-07-17,0
34,Chery Tiggo 4,2013,324380,727930,2024-08-07,0
35,Chevrolet Aveo,2022,119620,234540,2024-05-18,0
36,Chery Tiggo 4,2022,104128,266108,2024-01-02,0
37,Renault Logan,2019,306095,570550,2024-12-06,0
38,Renault Logan,2015,329055,741745,2024-07-29,0
39,EXEED TXL,2020,239928,534428,2024-06-28,0
40,Volkswagen Polo,2022,128742,246912,2024-09-29,0
41,Geely Tugella,2013,313360,680085,2024-12-02,0
42,Renault Logan,2013,252345,679530,2024-08-16,0
43,Kia Rio,2020,283688,438128,2024-05-28,0
44,Chery Tiggo 4,2017,250695,571685,2024-07-28,0
45,Nissan Note,2015,323355,654205,2024-07-10,0
46,Geely Tugella,2019,350560,712995,2024-10-28,0
47,KIA Spectra,2018,285050,622135,2024-09-25,0
48,LADA (VAZ) Vesta,2023,54417,121369,2024-06-20,0
49,Nissan Note,2023,65071,131313,2024-10-10,0
50,Hyundai Solaris,2023,59553,116257,2024-08-24,0
51,Kia Rio,2016,255775,655740,2024-11-11,0
52,Hyundai Accent,2015,268370,552620,2024-12-03,0
53,EXEED TXL,2023,54014,138995,2024-03-03,0
